chunk_id,boundary_type,loc_start,loc_end,est_size,notes
c001,section,p1,p2,~1120tok,"ch1 OVERVIEW; page-bounded slice at §-boundary, <=fallback"
c002,section,p3,p4,~1120tok,"ch1 OVERVIEW; page-bounded slice at §-boundary, <=fallback"
c003,section,p5,p6,~1120tok,"ch1 OVERVIEW; page-bounded slice at §-boundary, <=fallback"
c004,section,p7,p8,~1120tok,"ch1 OVERVIEW; page-bounded slice at §-boundary, <=fallback"
c005,section,p9,p10,~1120tok,"ch2 HOW A TIL WORKS; page-bounded slice at §-boundary, <=fallback"
c006,section,p11,p12,~1120tok,"ch2 HOW A TIL WORKS; page-bounded slice at §-boundary, <=fallback"
c007,section,p13,p14,~1120tok,"ch2 HOW A TIL WORKS; page-bounded slice at §-boundary, <=fallback"
c008,section,p15,p16,~1120tok,"ch2 HOW A TIL WORKS; page-bounded slice at §-boundary, <=fallback"
c009,section,p17,p18,~1120tok,"ch2 HOW A TIL WORKS; page-bounded slice at §-boundary, <=fallback"
c010,section,p19,p20,~1120tok,"ch2 HOW A TIL WORKS; page-bounded slice at §-boundary, <=fallback"
c011,section,p21,p22,~1120tok,"ch2 HOW A TIL WORKS; page-bounded slice at §-boundary, <=fallback"
c012,section,p23,p24,~1120tok,"ch2 HOW A TIL WORKS; page-bounded slice at §-boundary, <=fallback"
c013,section,p25,p26,~1120tok,"ch2 HOW A TIL WORKS; page-bounded slice at §-boundary, <=fallback"
c014,section,p27,p27,~560tok,"ch2 HOW A TIL WORKS; page-bounded slice at §-boundary, <=fallback"
c015,section,p28,p29,~1120tok,"ch3 HUP...; page-bounded slice at §-boundary, <=fallback"
c016,section,p30,p31,~1120tok,"ch3 HUP...; page-bounded slice at §-boundary, <=fallback"
c017,section,p32,p33,~1120tok,"ch3 HUP...; page-bounded slice at §-boundary, <=fallback"
c018,section,p34,p35,~1120tok,"ch3 HUP...; page-bounded slice at §-boundary, <=fallback"
c019,section,p36,p37,~1120tok,"ch3 HUP...; page-bounded slice at §-boundary, <=fallback"
c020,section,p38,p38,~560tok,"ch3 HUP...; page-bounded slice at §-boundary, <=fallback"
c021,section,p39,p40,~1120tok,"ch4 TOWER OF BABEL; page-bounded slice at §-boundary, <=fallback"
c022,section,p41,p42,~1120tok,"ch4 TOWER OF BABEL; page-bounded slice at §-boundary, <=fallback"
c023,section,p43,p44,~1120tok,"ch4 TOWER OF BABEL; page-bounded slice at §-boundary, <=fallback"
c024,section,p45,p46,~1120tok,"ch4 TOWER OF BABEL; page-bounded slice at §-boundary, <=fallback"
c025,section,p47,p48,~1120tok,"ch4 TOWER OF BABEL; page-bounded slice at §-boundary, <=fallback"
c026,section,p49,p50,~1120tok,"ch4 TOWER OF BABEL; page-bounded slice at §-boundary, <=fallback"
c027,section,p51,p52,~1120tok,"ch4 TOWER OF BABEL; page-bounded slice at §-boundary, <=fallback"
c028,section,p53,p54,~1120tok,"ch4 TOWER OF BABEL; page-bounded slice at §-boundary, <=fallback"
c029,section,p55,p56,~1120tok,"ch4 TOWER OF BABEL; page-bounded slice at §-boundary, <=fallback"
c030,section,p57,p58,~1120tok,"ch4 TOWER OF BABEL; page-bounded slice at §-boundary, <=fallback"
c031,section,p59,p60,~1120tok,"ch4 TOWER OF BABEL; page-bounded slice at §-boundary, <=fallback"
c032,section,p61,p62,~1120tok,"ch4 TOWER OF BABEL; page-bounded slice at §-boundary, <=fallback"
c033,section,p63,p64,~1120tok,"ch4 TOWER OF BABEL; page-bounded slice at §-boundary, <=fallback"
c034,section,p65,p66,~1120tok,"ch4 TOWER OF BABEL; page-bounded slice at §-boundary, <=fallback"
c035,section,p67,p68,~1120tok,"ch4 TOWER OF BABEL; page-bounded slice at §-boundary, <=fallback"
c036,section,p69,p70,~1120tok,"ch4 TOWER OF BABEL; page-bounded slice at §-boundary, <=fallback"
c037,section,p71,p72,~1120tok,"ch4 TOWER OF BABEL; page-bounded slice at §-boundary, <=fallback"
c038,section,p73,p73,~560tok,"ch4 TOWER OF BABEL; page-bounded slice at §-boundary, <=fallback"
c039,section,p74,p75,~1120tok,"ch5 ROUTINES; page-bounded slice at §-boundary, <=fallback"
c040,section,p76,p77,~1120tok,"ch5 ROUTINES; page-bounded slice at §-boundary, <=fallback"
c041,section,p78,p79,~1120tok,"ch5 ROUTINES; page-bounded slice at §-boundary, <=fallback"
c042,section,p80,p81,~1120tok,"ch5 ROUTINES; page-bounded slice at §-boundary, <=fallback"
c043,section,p82,p83,~1120tok,"ch5 ROUTINES; page-bounded slice at §-boundary, <=fallback"
c044,section,p84,p85,~1120tok,"ch5 ROUTINES; page-bounded slice at §-boundary, <=fallback"
c045,section,p86,p87,~1120tok,"ch5 ROUTINES; page-bounded slice at §-boundary, <=fallback"
c046,section,p88,p89,~1120tok,"ch5 ROUTINES; page-bounded slice at §-boundary, <=fallback"
c047,section,p90,p91,~1120tok,"ch5 ROUTINES; page-bounded slice at §-boundary, <=fallback"
c048,section,p92,p93,~1120tok,"ch5 ROUTINES; page-bounded slice at §-boundary, <=fallback"
c049,section,p94,p95,~1120tok,"ch5 ROUTINES; page-bounded slice at §-boundary, <=fallback"
c050,section,p96,p97,~1120tok,"ch5 ROUTINES; page-bounded slice at §-boundary, <=fallback"
c051,section,p98,p99,~1120tok,"ch5 ROUTINES; page-bounded slice at §-boundary, <=fallback"
c052,section,p100,p101,~1120tok,"ch5 ROUTINES; page-bounded slice at §-boundary, <=fallback"
c053,section,p102,p102,~560tok,"ch5 ROUTINES; page-bounded slice at §-boundary, <=fallback"
c054,section,p180,p181,~1120tok,"ch7 EXTENSION; page-bounded slice at §-boundary, <=fallback"
c055,section,p182,p183,~1120tok,"ch7 EXTENSION; page-bounded slice at §-boundary, <=fallback"
c056,section,p184,p185,~1120tok,"ch7 EXTENSION; page-bounded slice at §-boundary, <=fallback"
c057,section,p186,p187,~1120tok,"ch7 EXTENSION; page-bounded slice at §-boundary, <=fallback"
c058,section,p188,p189,~1120tok,"ch7 EXTENSION; page-bounded slice at §-boundary, <=fallback"
c059,section,p190,p191,~1120tok,"ch7 EXTENSION; page-bounded slice at §-boundary, <=fallback"
c060,section,p192,p193,~1120tok,"ch7 EXTENSION; page-bounded slice at §-boundary, <=fallback"
c061,section,p194,p195,~1120tok,"ch7 EXTENSION; page-bounded slice at §-boundary, <=fallback"
c062,section,p196,p197,~1120tok,"ch7 EXTENSION; page-bounded slice at §-boundary, <=fallback"
c063,section,p198,p199,~1120tok,"ch7 EXTENSION; page-bounded slice at §-boundary, <=fallback"
c064,section,p200,p201,~1120tok,"ch7 EXTENSION; page-bounded slice at §-boundary, <=fallback"
